Date,22022 - Average interest rate of nonearmarked new credit operations - Households - Credit card revolving credit - % p.y.
03/2011,267.99
04/2011,277.13
05/2011,279.03
06/2011,276.09
07/2011,276.65
08/2011,284.54
09/2011,307.67
10/2011,312.14
11/2011,303.32
12/2011,293.51
01/2012,301.97
02/2012,292.95
03/2012,306.5
04/2012,319.02
05/2012,306.69
06/2012,311.48
07/2012,295.2
08/2012,286.55
09/2012,275.97
10/2012,267.08
11/2012,262.98
12/2012,257.95
01/2013,250.18
02/2013,254.45
03/2013,252.63
04/2013,254.85
05/2013,254.53
06/2013,255.35
07/2013,260.52
08/2013,260.74
09/2013,263.23
10/2013,267.23
11/2013,272.64
12/2013,285.95
01/2014,282.22
02/2014,292.85
03/2014,290.64
04/2014,277.44
05/2014,280.27
06/2014,286.08
07/2014,285.81
08/2014,293.26
09/2014,284.51
10/2014,300.66
11/2014,312.83
12/2014,320.55
01/2015,326.74
02/2015,333.69
03/2015,335.58
04/2015,335.99
05/2015,355.11
06/2015,376.25
07/2015,398.09
08/2015,401.41
09/2015,414.97
10/2015,399.97
11/2015,422.49
12/2015,430.83
01/2016,447.78
02/2016,454.3
03/2016,457.87
04/2016,463.14
05/2016,474.71
06/2016,470.62
07/2016,469.76
08/2016,482.74
09/2016,491.25
10/2016,483.97
11/2016,494.82
12/2016,497.73
01/2017,497.5
02/2017,487.77
03/2017,490.33
04/2017,429.65
05/2017,379.95
06/2017,380.77
07/2017,399.02
08/2017,397.51
09/2017,332.38
10/2017,337.96
11/2017,335.6
12/2017,334.76
01/2018,328.07
02/2018,332.43
03/2018,334.5
04/2018,331.57
